id,title,description,startDate,endDate,status,storyPoints,assignedTo,feature
t1,Implement OAuth2 authentication,Set up OAuth2 flow with Google and GitHub providers,2026-02-15,2026-02-22,planned,8,Sarah Chen,Authentication
t2,Design database schema for users,Create normalized schema for user accounts,2026-02-10,2026-02-14,in-progress,5,Marcus Rivera,Authentication
t3,Create JWT token management,Token generation and validation service,2026-02-15,2026-02-19,planned,3,Alex Thompson,Authentication
t4,Build role-based access control,Implement RBAC with permission groups,2026-02-20,2026-02-27,planned,8,James Wilson,Authentication
t5,Implement session management,Server-side session handling with Redis,2026-02-24,2026-03-03,planned,5,Sarah Chen,Authentication
t6,Add password policy enforcement,Password strength and rotation policies,2026-03-03,2026-03-07,planned,3,Marcus Rivera,Authentication
t7,Create audit logging system,Comprehensive audit trail for compliance,2026-03-10,2026-03-17,planned,5,James Wilson,Authentication
t8,Build user profile management UI,Profile editor with avatar upload,2026-02-15,2026-02-24,planned,8,Emily Rodriguez,User Management
t9,Implement user invitation flow,Email-based invitation system,2026-02-25,2026-03-04,planned,5,David Park,User Management
t10,Add bulk user import feature,CSV-based bulk user onboarding,2026-03-05,2026-03-12,planned,8,Sarah Chen,User Management
t11,Create user permission editor,UI for managing user permissions,2026-03-13,2026-03-20,planned,5,Alex Thompson,User Management
t12,Build user activity dashboard,Track and display user activity,2026-03-18,2026-03-28,planned,8,Marcus Rivera,User Management
t13,Design admin console mockups,Wireframes for admin panel,2026-02-10,2026-02-14,completed,5,Emily Rodriguez,Admin Console
t14,Implement admin user management,Admin CRUD for user accounts,2026-02-17,2026-02-24,planned,8,David Park,Admin Console
t15,Create system settings panel,Application-wide settings UI,2026-02-25,2026-03-03,planned,5,James Wilson,Admin Console
t16,Build notification preferences UI,User notification settings page,2026-03-04,2026-03-10,planned,3,Emily Rodriguez,Notifications
t17,Add email notification templates,Transactional email templates,2026-03-11,2026-03-17,planned,5,Sarah Chen,Notifications
t18,Implement push notification system,FCM push notification integration,2026-03-18,2026-03-25,planned,8,David Park,Notifications
t19,Create notification history view,View past notification log,2026-03-26,2026-04-01,planned,3,Alex Thompson,Notifications
t20,Build notification settings API,API for notification preferences,2026-02-15,2026-02-20,planned,5,James Wilson,Notifications
